Loss,Accuracy,a,k,b
1.29265,0.366412,0.245341,3.31827,-0.139967
1.29264,0.366412,0.245322,3.31826,-0.139967
1.29262,0.366412,0.245303,3.31826,-0.139967
1.29261,0.366412,0.245284,3.31826,-0.139967
1.29259,0.366412,0.245265,3.31826,-0.139966
1.29258,0.368957,0.245246,3.31826,-0.139966
1.29257,0.368957,0.245228,3.31826,-0.139966
1.29255,0.368957,0.245209,3.31826,-0.139966
1.29254,0.368957,0.24519,3.31826,-0.139966
1.29252,0.368957,0.245172,3.31826,-0.139966
1.29251,0.368957,0.245153,3.31826,-0.139966
1.2925,0.368957,0.245134,3.31826,-0.139966
1.29248,0.368957,0.245116,3.31825,-0.139966
1.29247,0.368957,0.245097,3.31825,-0.139966
1.29245,0.368957,0.245079,3.31825,-0.139966
1.29244,0.368957,0.24506,3.31825,-0.139965
1.29243,0.368957,0.245041,3.31825,-0.139965
1.29241,0.368957,0.245023,3.31825,-0.139965
1.2924,0.368957,0.245005,3.31825,-0.139965
1.29238,0.368957,0.244986,3.31825,-0.139965
1.29237,0.368957,0.244968,3.31825,-0.139965
1.29236,0.368957,0.244949,3.31825,-0.139965
1.29234,0.368957,0.244931,3.31824,-0.139965
1.29233,0.368957,0.244913,3.31824,-0.139965
1.29232,0.368957,0.244894,3.31824,-0.139965
1.2923,0.368957,0.244876,3.31824,-0.139965
1.29229,0.368957,0.244858,3.31824,-0.139964
1.29228,0.368957,0.244839,3.31824,-0.139964
1.29226,0.368957,0.244821,3.31824,-0.139964
1.29225,0.368957,0.244803,3.31824,-0.139964
1.29224,0.368957,0.244785,3.31824,-0.139964
1.29222,0.368957,0.244767,3.31824,-0.139964
1.29221,0.368957,0.244749,3.31824,-0.139964
1.2922,0.368957,0.24473,3.31823,-0.139964
1.29219,0.368957,0.244712,3.31823,-0.139964
1.29217,0.368957,0.244694,3.31823,-0.139964
1.29216,0.368957,0.244676,3.31823,-0.139964
1.29215,0.368957,0.244658,3.31823,-0.139963
1.29213,0.368957,0.24464,3.31823,-0.139963
1.29212,0.368957,0.244622,3.31823,-0.139963
1.29211,0.368957,0.244604,3.31823,-0.139963
1.2921,0.368957,0.244586,3.31823,-0.139963
1.29208,0.368957,0.244569,3.31823,-0.139963
1.29207,0.368957,0.244551,3.31822,-0.139963
1.29206,0.368957,0.244533,3.31822,-0.139963
1.29205,0.368957,0.244515,3.31822,-0.139963
1.29203,0.368957,0.244497,3.31822,-0.139963
1.29202,0.368957,0.244479,3.31822,-0.139963
1.29201,0.368957,0.244462,3.31822,-0.139962
1.292,0.368957,0.244444,3.31822,-0.139962
1.29198,0.368957,0.244426,3.31822,-0.139962
1.29197,0.368957,0.244408,3.31822,-0.139962
1.29196,0.368957,0.244391,3.31822,-0.139962
1.29195,0.368957,0.244373,3.31822,-0.139962
1.29194,0.368957,0.244355,3.31821,-0.139962
1.29192,0.368957,0.244338,3.31821,-0.139962
1.29191,0.368957,0.24432,3.31821,-0.139962
1.2919,0.368957,0.244303,3.31821,-0.139962
1.29189,0.368957,0.244285,3.31821,-0.139962
1.29188,0.368957,0.244268,3.31821,-0.139961
1.29186,0.368957,0.24425,3.31821,-0.139961
1.29185,0.368957,0.244233,3.31821,-0.139961
1.29184,0.368957,0.244215,3.31821,-0.139961
1.29183,0.368957,0.244198,3.31821,-0.139961
1.29182,0.368957,0.24418,3.3182,-0.139961
1.29181,0.368957,0.244163,3.3182,-0.139961
1.29179,0.368957,0.244145,3.3182,-0.139961
1.29178,0.371501,0.244128,3.3182,-0.139961
1.29177,0.371501,0.244111,3.3182,-0.139961
1.29176,0.371501,0.244093,3.3182,-0.139961
1.29175,0.371501,0.244076,3.3182,-0.139961
1.29174,0.371501,0.244059,3.3182,-0.13996
1.29173,0.371501,0.244041,3.3182,-0.13996
1.29171,0.371501,0.244024,3.3182,-0.13996
1.2917,0.371501,0.244007,3.3182,-0.13996
1.29169,0.371501,0.24399,3.31819,-0.13996
1.29168,0.371501,0.243973,3.31819,-0.13996
1.29167,0.371501,0.243955,3.31819,-0.13996
1.29166,0.371501,0.243938,3.31819,-0.13996
1.29165,0.371501,0.243921,3.31819,-0.13996
1.29164,0.371501,0.243904,3.31819,-0.13996
1.29162,0.371501,0.243887,3.31819,-0.13996
1.29161,0.371501,0.24387,3.31819,-0.139959
1.2916,0.371501,0.243853,3.31819,-0.139959
1.29159,0.371501,0.243836,3.31819,-0.139959
1.29158,0.371501,0.243819,3.31818,-0.139959
1.29157,0.371501,0.243802,3.31818,-0.139959
1.29156,0.371501,0.243785,3.31818,-0.139959
1.29155,0.371501,0.243768,3.31818,-0.139959
1.29154,0.371501,0.243751,3.31818,-0.139959
1.29153,0.371501,0.243734,3.31818,-0.139959
1.29152,0.371501,0.243717,3.31818,-0.139959
1.29151,0.371501,0.2437,3.31818,-0.139959
1.2915,0.371501,0.243683,3.31818,-0.139958
1.29149,0.371501,0.243667,3.31818,-0.139958
1.29148,0.371501,0.24365,3.31818,-0.139958
1.29146,0.371501,0.243633,3.31817,-0.139958
1.29145,0.371501,0.243616,3.31817,-0.139958
1.29144,0.371501,0.243599,3.31817,-0.139958
